user_id,product_id,rating
102,158,2.0
435,151,3.0
348,107,1.0
270,187,1.0
106,44,5.0
71,97,1.0
188,130,1.0
20,36,1.0
102,170,5.0
121,167,3.0
466,182,3.0
214,107,1.0
330,38,5.0
458,14,3.0
87,119,3.0
372,3,3.0
99,92,5.0
359,152,5.0
151,140,1.0
130,160,4.0
149,15,3.0
308,169,4.0
257,107,5.0
343,125,5.0
491,193,5.0
413,54,4.0
293,169,5.0
385,33,1.0
191,157,5.0
443,12,2.0
276,140,4.0
160,17,2.0
459,159,5.0
313,95,1.0
21,122,3.0
252,38,5.0
235,45,1.0
344,28,4.0
48,189,2.0
474,61,2.0
58,184,2.0
169,15,4.0
475,183,1.0
187,120,4.0
463,9,2.0
270,157,5.0
189,152,3.0
445,102,4.0
174,83,4.0
445,132,1.0
50,64,1.0
363,176,4.0
54,2,2.0
243,172,3.0
319,141,1.0
130,119,2.0
484,157,5.0
306,67,1.0
134,145,2.0
20,189,2.0
328,36,3.0
166,152,3.0
273,175,5.0
387,192,2.0
88,180,2.0
315,72,3.0
13,142,1.0
241,48,1.0
264,120,4.0
345,87,3.0
52,195,4.0
385,139,3.0
339,186,5.0
91,36,2.0
366,60,5.0
443,170,3.0
454,123,2.0
427,197,1.0
263,38,1.0
430,183,4.0
34,62,3.0
205,45,3.0
80,87,1.0
419,10,5.0
49,61,2.0
359,76,5.0
387,152,5.0
1,198,1.0
389,51,1.0
53,3,1.0
105,58,4.0
259,71,5.0
309,147,3.0
476,92,2.0
190,62,4.0
401,53,3.0
217,116,5.0
43,109,1.0
161,73,5.0
201,106,2.0
445,56,4.0
483,168,4.0
269,2,2.0
350,119,3.0
303,5,3.0
270,4,4.0
455,4,4.0
461,53,1.0
214,46,3.0
251,176,2.0
189,8,3.0
295,98,1.0
212,19,4.0
207,121,4.0
236,60,1.0
337,122,2.0
366,162,4.0
52,177,5.0
279,81,4.0
409,61,5.0
216,144,1.0
251,2,1.0
187,159,4.0
379,12,3.0
492,119,5.0
40,124,2.0
156,88,4.0
14,72,2.0
300,67,4.0
64,141,3.0
344,100,3.0
326,97,3.0
8,10,3.0
343,104,1.0
128,183,1.0
491,66,5.0
135,122,2.0
471,28,4.0
62,136,4.0
138,194,1.0
498,152,4.0
80,75,1.0
391,169,5.0
162,8,2.0
418,39,5.0
288,24,3.0
378,4,3.0
260,138,3.0
489,186,5.0
230,123,4.0
40,37,2.0
27,71,3.0
134,132,3.0
200,175,3.0
327,89,2.0
267,145,3.0
417,197,2.0
32,36,3.0
47,59,5.0
406,175,5.0
61,27,2.0
215,196,5.0
292,80,2.0
98,113,5.0
171,39,5.0
359,44,2.0
213,61,4.0
474,92,5.0
34,114,3.0
448,185,4.0
226,66,2.0
100,55,4.0
430,39,1.0
461,97,1.0
130,39,5.0
256,90,5.0
4,32,3.0
217,5,4.0
254,146,1.0
397,79,5.0
358,167,4.0
282,91,5.0
392,96,5.0
206,58,1.0
14,58,1.0
345,47,5.0
41,168,2.0
460,106,5.0
178,44,3.0
62,88,3.0
351,180,3.0
230,169,2.0
240,99,2.0
51,190,5.0
95,154,3.0
387,165,2.0
221,187,1.0
484,6,5.0
406,132,4.0
230,44,5.0
236,57,4.0
142,30,3.0
170,22,4.0
28,169,3.0
35,137,1.0
12,159,4.0
159,106,5.0
326,180,3.0
186,157,5.0
242,38,2.0
85,158,3.0
283,81,4.0
65,99,3.0
169,1,5.0
44,76,1.0
61,11,3.0
440,38,4.0
133,193,2.0
283,12,1.0
27,45,2.0
107,154,3.0
43,112,5.0
339,16,5.0
285,103,4.0
445,97,5.0
330,187,1.0
127,191,5.0
347,87,4.0
472,108,3.0
230,162,3.0
189,69,5.0
224,157,2.0
384,198,3.0
376,73,5.0
282,62,4.0
445,155,5.0
120,59,3.0
115,78,4.0
460,36,5.0
232,21,1.0
258,195,4.0
358,147,1.0
197,95,2.0
455,67,4.0
410,191,1.0
136,16,3.0
317,11,3.0
164,149,2.0
224,144,4.0
306,137,4.0
233,117,4.0
171,192,2.0
151,21,4.0
462,119,3.0
314,49,1.0
373,13,3.0
159,191,3.0
95,174,1.0
232,163,2.0
179,179,1.0
112,124,3.0
317,6,5.0
496,28,3.0
441,138,2.0
51,32,4.0
267,133,3.0
294,110,4.0
385,78,5.0
386,159,3.0
112,178,1.0
100,57,4.0
112,25,5.0
439,173,1.0
80,28,1.0
186,3,1.0
112,98,1.0
1,140,3.0
129,38,3.0
219,14,3.0
53,118,5.0
342,28,5.0
484,156,5.0
223,74,2.0
224,115,5.0
384,31,3.0
402,129,3.0
125,174,2.0
129,83,2.0
52,21,5.0
171,26,4.0
217,194,2.0
159,80,1.0
197,125,3.0
415,183,1.0
246,91,3.0
323,20,3.0
438,46,2.0
202,100,2.0
183,186,1.0
122,83,3.0
400,5,1.0
293,184,1.0
279,196,5.0
324,130,1.0
371,0,5.0
97,57,5.0
197,123,5.0
469,165,4.0
394,14,1.0
239,161,1.0
143,188,4.0
96,162,3.0
200,63,2.0
123,24,1.0
186,23,2.0
325,11,4.0
463,17,3.0
